Round,ExpertId
1,0
1,10
1,11
1,15
1,17
1,20
2,0
2,10
2,11
2,15
2,17
2,20
3,11
3,15
3,17
3,20
4,11
4,15
4,17
4,20
5,15
5,17
5,20
6,11
6,15
6,17
6,20
7,11
7,15
7,17
7,20
8,17
8,20
9,15
9,17
9,20
10,15
10,17
10,20
11,17
11,20
12,17
12,20
13,17
13,20
14,15
14,17
14,20
15,17
15,20
16,17
16,20
17,17
17,20
18,17
18,20
19,15
19,17
19,20
20,15
20,17
20,20
21,15
21,17
21,20
22,15
22,17
22,20
23,17
23,20
24,17
24,20
25,17
25,20
26,17
26,20
27,17
27,20
28,17
28,20
29,17
29,20
30,17
30,20
31,17
31,20
32,0
32,1
33,1
33,2
33,3
33,4
34,2
34,3
34,4
34,5
34,6
34,7
35,4
35,5
35,6
35,8
36,5
36,6
36,7
36,8
36,9
36,10
37,6
37,7
37,8
37,9
37,10
37,11
38,5
38,8
38,9
38,10
38,12
38,13
39,6
39,7
39,8
39,9
39,10
39,11
39,12
39,13
39,14
40,8
40,9
40,11
40,12
40,13
40,14
41,13
41,14
41,16
41,18
41,19
42,9
42,10
42,15
42,16
42,18
42,19
42,21
43,10
43,11
43,12
43,18
43,19
43,21
43,22
44,12
44,13
44,14
44,21
44,22
44,23
44,24
45,15
45,16
45,22
45,23
45,24
45,25
46,18
46,19
46,23
46,25
46,26
46,27
47,19
47,21
47,22
47,27
47,28
47,29
48,21
48,22
48,24
48,25
48,28
48,29
48,30
49,10
49,11
49,15
49,20
49,23
49,24
49,26
49,27
49,30
49,31
50,11
50,17
50,20
50,23
50,24
50,25
50,26
50,28
50,31
51,0
51,10
51,11
51,15
51,20
51,24
51,25
51,26
51,27
52,15
52,20
52,26
52,27
52,28
52,29
53,15
53,17
53,20
53,28
53,29
53,30
53,31
54,0
54,11
54,17
54,20
54,29
54,31
55,15
55,17
55,20
55,30
56,11
56,15
56,17
56,20
56,31
57,15
57,17
57,20
58,17
58,20
59,15
59,17
59,20
60,17
60,20
61,17
61,20
62,15
62,17
62,20
63,15
63,17
63,20
64,0
64,1
64,20
65,1
65,2
65,20
66,1
66,2
66,3
66,4
66,5
67,2
67,3
67,4
67,5
67,6
68,4
68,5
68,6
68,7
68,20
69,5
69,6
69,7
69,8
69,9
69,20
70,5
70,6
70,7
70,8
70,9
70,10
70,17
70,20
71,6
71,7
71,8
71,9
71,10
71,11
71,12
71,20
72,8
72,9
72,10
72,11
72,12
72,13
73,9
73,10
73,11
73,12
73,13
73,14
73,15
73,17
73,20
74,9
74,12
74,13
74,14
74,16
74,18
74,20
75,10
75,11
75,12
75,13
75,14
75,16
75,19
75,20
75,21
76,12
76,13
76,16
76,18
76,19
76,21
76,22
76,23
77,13
77,14
77,16
77,18
77,19
77,21
78,15
78,16
78,18
78,19
78,20
78,21
78,22
78,23
78,24
79,16
79,18
79,19
79,21
79,22
79,23
79,24
79,25
79,26
79,27
80,18
80,19
80,21
80,22
80,23
80,24
80,25
80,26
80,27
80,28
80,29
81,19
81,20
81,21
81,22
81,23
81,24
81,25
81,26
81,27
81,28
81,29
81,30
82,11
82,23
82,24
82,25
82,26
82,27
82,28
82,29
82,30
83,24
83,25
83,26
83,27
83,28
83,29
83,30
84,10
84,20
84,25
84,28
84,30
84,31
85,11
85,15
85,20
85,24
85,26
85,27
85,29
85,30
86,10
86,17
86,20
86,25
86,27
86,28
86,31
87,0
87,15
87,17
87,20
87,26
87,29
87,30
87,31
88,0
88,11
88,17
88,20
88,27
88,28
89,15
89,17
89,20
89,31
90,15
90,17
90,20
90,29
90,30
91,11
91,17
91,20
92,15
92,17
92,20
92,31
93,17
93,20
94,15
94,17
94,20
95,15
95,17
95,20
96,0
96,1
96,20
97,1
97,2
97,20
98,1
98,2
98,3
98,17
98,20
99,2
99,3
99,4
99,20
100,4
100,5
100,6
100,20
